protocol,task,mode,metric,chance,test_subject,fold,value,best_val
gh_pooled,speaker4,eeg,acc,0.25,4,4.0,0.4702194357366771,0.4702194357366771
gh_pooled,speaker4,gaze,acc,0.25,0,0.0,0.490625,0.490625
gh_pooled,speaker4,gaze,acc,0.25,1,1.0,0.48125,0.48125
gh_pooled,speaker4,gaze,acc,0.25,2,2.0,0.503125,0.503125
gh_pooled,speaker4,gaze,acc,0.25,3,3.0,0.475,0.475
gh_pooled,speaker4,gaze,acc,0.25,4,4.0,0.47648902821316613,0.47648902821316613
gh_pooled,speaker4,imu,acc,0.25,0,0.0,0.484375,0.484375
gh_pooled,speaker4,imu,acc,0.25,1,1.0,0.4875,0.4875
gh_pooled,speaker4,imu,acc,0.25,2,2.0,0.48125,0.48125
gh_pooled,speaker4,imu,acc,0.25,3,3.0,0.4625,0.4625
gh_pooled,speaker4,imu,acc,0.25,4,4.0,0.47335423197492166,0.47335423197492166
loso,eccentricity,eeg_gaze,acc,0.5,1,,0.587,0.5848214285714286
loso,eccentricity,eeg_gaze,acc,0.5,2,,0.571,0.578125
loso,eccentricity,eeg_gaze,acc,0.5,3,,0.57,0.5700892857142857
loso,eccentricity,eeg_gaze,acc,0.5,4,,0.566,0.5888392857142857
loso,eccentricity,eeg_gaze,acc,0.5,5,,0.562,0.5642857142857143
loso,eccentricity,eeg_gaze,acc,0.5,6,,0.597,0.6120535714285714
loso,eccentricity,eeg_gaze,acc,0.5,7,,0.574,0.5901785714285714
loso,eccentricity,eeg_gaze,acc,0.5,8,,0.584,0.5955357142857143
loso,eccentricity,eeg_gaze,acc,0.5,9,,0.561,0.5513392857142857
loso,eccentricity,eeg_gaze,acc,0.5,10,,0.571,0.5388392857142857
loso,eccentricity,eeg_gaze,acc,0.5,11,,0.598,0.584375
loso,eccentricity,eeg_gaze,acc,0.5,12,,0.557,0.5589285714285714
loso,eccentricity,eeg_gaze,acc,0.5,13,,0.585,0.5558035714285714
loso,eccentricity,eeg_gaze,acc,0.5,14,,0.552,0.5651785714285714
loso,eccentricity,eeg_gaze,acc,0.5,15,,0.601010101010101,0.5995535714285715
loso,eccentricity,eeg_gaze,acc,0.5,16,,0.572,0.5584821428571428
loso,eccentricity,eeg_imu,acc,0.5,1,,0.551,0.5566964285714285
loso,eccentricity,eeg_imu,acc,0.5,2,,0.57,0.5799107142857143
loso,eccentricity,eeg_imu,acc,0.5,3,,0.568,0.5683035714285715
loso,eccentricity,eeg_imu,acc,0.5,4,,0.553,0.5669642857142857
loso,eccentricity,eeg_imu,acc,0.5,5,,0.563,0.55625
loso,eccentricity,eeg_imu,acc,0.5,6,,0.57,0.5723214285714285
loso,eccentricity,eeg_imu,acc,0.5,7,,0.559,0.5763392857142857
loso,eccentricity,eeg_imu,acc,0.5,8,,0.563,0.5888392857142857
loso,eccentricity,eeg_imu,acc,0.5,9,,0.569,0.5638392857142858
loso,eccentricity,eeg_imu,acc,0.5,10,,0.547,0.5361607142857143
loso,eccentricity,eeg_imu,acc,0.5,11,,0.553,0.553125
loso,eccentricity,eeg_imu,acc,0.5,12,,0.558,0.5678571428571428
loso,eccentricity,eeg_imu,acc,0.5,13,,0.567,0.5571428571428572
loso,eccentricity,eeg_imu,acc,0.5,14,,0.548,0.5602678571428571
loso,eccentricity,eeg_imu,acc,0.5,15,,0.5565656565656566,0.5575892857142857
loso,eccentricity,eeg_imu,acc,0.5,16,,0.56,0.5513392857142857
loso,eccentricity,gaze_imu,acc,0.5,1,,0.587,0.5848214285714286
loso,eccentricity,gaze_imu,acc,0.5,2,,0.565,0.5714285714285714
loso,eccentricity,gaze_imu,acc,0.5,3,,0.565,0.5678571428571428
loso,eccentricity,gaze_imu,acc,0.5,4,,0.571,0.5870535714285714
loso,eccentricity,gaze_imu,acc,0.5,5,,0.564,0.5553571428571429
loso,eccentricity,gaze_imu,acc,0.5,6,,0.598,0.6125
loso,eccentricity,gaze_imu,acc,0.5,7,,0.573,0.5892857142857143
loso,eccentricity,gaze_imu,acc,0.5,8,,0.565,0.5941964285714286
loso,eccentricity,gaze_imu,acc,0.5,9,,0.57,0.5629464285714286
loso,eccentricity,gaze_imu,acc,0.5,10,,0.548,0.5348214285714286
loso,eccentricity,gaze_imu,acc,0.5,11,,0.598,0.584375
loso,eccentricity,gaze_imu,acc,0.5,12,,0.552,0.565625
loso,eccentricity,gaze_imu,acc,0.5,13,,0.584,0.5544642857142857
loso,eccentricity,gaze_imu,acc,0.5,14,,0.548,0.5589285714285714
loso,eccentricity,gaze_imu,acc,0.5,15,,0.601010101010101,0.5991071428571428
loso,eccentricity,gaze_imu,acc,0.5,16,,0.56,0.5508928571428572
loso,eccentricity,eeg_gaze_imu,acc,0.5,1,,0.587,0.5848214285714286
loso,eccentricity,eeg_gaze_imu,acc,0.5,2,,0.565,0.5714285714285714
loso,eccentricity,eeg_gaze_imu,acc,0.5,3,,0.565,0.5678571428571428
loso,eccentricity,eeg_gaze_imu,acc,0.5,4,,0.571,0.5870535714285714
loso,eccentricity,eeg_gaze_imu,acc,0.5,5,,0.565,0.55625
loso,eccentricity,eeg_gaze_imu,acc,0.5,6,,0.597,0.6125
loso,eccentricity,eeg_gaze_imu,acc,0.5,7,,0.574,0.5892857142857143
loso,eccentricity,eeg_gaze_imu,acc,0.5,8,,0.561,0.5946428571428571
loso,eccentricity,eeg_gaze_imu,acc,0.5,9,,0.569,0.5633928571428571
loso,eccentricity,eeg_gaze_imu,acc,0.5,10,,0.548,0.5361607142857143
loso,eccentricity,eeg_gaze_imu,acc,0.5,11,,0.598,0.584375
loso,eccentricity,eeg_gaze_imu,acc,0.5,12,,0.558,0.5683035714285715
loso,eccentricity,eeg_gaze_imu,acc,0.5,13,,0.584,0.5544642857142857
loso,eccentricity,eeg_gaze_imu,acc,0.5,14,,0.549,0.5607142857142857
loso,eccentricity,eeg_gaze_imu,acc,0.5,15,,0.601010101010101,0.5991071428571428
loso,eccentricity,eeg_gaze_imu,acc,0.5,16,,0.568,0.5526785714285715
loso,hemisphere,eeg_gaze,acc,0.5,1,,0.548,0.5674107142857143
loso,hemisphere,eeg_gaze,acc,0.5,2,,0.556,0.5732142857142857
loso,hemisphere,eeg_gaze,acc,0.5,3,,0.56,0.5642857142857143
loso,hemisphere,eeg_gaze,acc,0.5,4,,0.569,0.5857142857142857
loso,hemisphere,eeg_gaze,acc,0.5,5,,0.559,0.559375
loso,hemisphere,eeg_gaze,acc,0.5,6,,0.546,0.5683035714285715
loso,hemisphere,eeg_gaze,acc,0.5,7,,0.576,0.5660714285714286
loso,hemisphere,eeg_gaze,acc,0.5,8,,0.552,0.5383928571428571
loso,hemisphere,eeg_gaze,acc,0.5,9,,0.551,0.55
loso,hemisphere,eeg_gaze,acc,0.5,10,,0.565,0.5566964285714285
loso,hemisphere,eeg_gaze,acc,0.5,11,,0.578,0.590625
loso,hemisphere,eeg_gaze,acc,0.5,12,,0.558,0.5745535714285714
loso,hemisphere,eeg_gaze,acc,0.5,13,,0.577,0.5575892857142857
loso,hemisphere,eeg_gaze,acc,0.5,14,,0.554,0.5892857142857143
loso,hemisphere,eeg_gaze,acc,0.5,15,,0.5666666666666667,0.5714285714285714
loso,hemisphere,eeg_gaze,acc,0.5,16,,0.57,0.5526785714285715
